id,type,BKS,BKS_source,LB,LB_source,proven_optimal
ta61,JSSP,2868,JSPLIB instances.json (tamy0612/JSPLIB@eea2b60),2868,JSPLIB instances.json (tamy0612/JSPLIB@eea2b60),True
ta71,JSSP,5464,Weise instances_with_bks (thomasWeise/jsspInstancesAndResults@29a50db),5464,Weise instances_with_bks (thomasWeise/jsspInstancesAndResults@29a50db),True
mk01,FJSP,40,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),40,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),True
mk02,FJSP,26,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),26,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),True
mk03,FJSP,204,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),204,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),True
mk04,FJSP,60,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),60,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),True
mk05,FJSP,172,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),172,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),True
mk06,FJSP,57,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),57,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),True
mk07,FJSP,139,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),139,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),True
mk08,FJSP,523,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),523,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),True
mk09,FJSP,307,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),307,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),True
mk10,FJSP,193,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),189,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),False
edata_la01,FJSP,609,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),609,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),True
edata_la06,FJSP,833,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),833,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),True
edata_la16,FJSP,892,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),892,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),True
edata_la21,FJSP,1009,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),1009,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),True
edata_la26,FJSP,1106,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),1106,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),True
rdata_la01,FJSP,570,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),570,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),True
rdata_la06,FJSP,799,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),799,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),True
rdata_la16,FJSP,717,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),717,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),True
rdata_la21,FJSP,825,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),809,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),False
rdata_la26,FJSP,1057,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),1056,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),False
vdata_la01,FJSP,570,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),570,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),True
vdata_la06,FJSP,799,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),799,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),True
vdata_la16,FJSP,717,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),717,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),True
vdata_la21,FJSP,800,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),800,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),True
vdata_la26,FJSP,1052,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),1052,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),True
fattahi01,FJSP,66,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),66,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),True
fattahi05,FJSP,119,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),119,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),True
fattahi10,FJSP,516,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),516,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),True
fattahi15,FJSP,514,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),514,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),True
fattahi20,FJSP,1196,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),1196,ScheduleOpt bks.json (ScheduleOpt/benchmarks@fff94e1),True
