id,family,type,jobs,machines,n_op,flexible,exp_jobs,exp_machines,exp_n_op,dim_check,dim_source,parser_ok,source
swv06,storer_wu_vaccari,JSSP,20,15,300,False,20,15,300,ok,JSPLIB instances.json,True,https://raw.githubusercontent.com/tamy0612/JSPLIB/eea2b60dd7e2f5c907ff7302662c61812eb7efdf/instances/swv06
swv11,storer_wu_vaccari,JSSP,50,10,500,False,50,10,500,ok,JSPLIB instances.json,True,https://raw.githubusercontent.com/tamy0612/JSPLIB/eea2b60dd7e2f5c907ff7302662c61812eb7efdf/instances/swv11
ta01,taillard,JSSP,15,15,225,False,15,15,225,ok,JSPLIB instances.json,True,https://raw.githubusercontent.com/tamy0612/JSPLIB/eea2b60dd7e2f5c907ff7302662c61812eb7efdf/instances/ta01
ta11,taillard,JSSP,20,15,300,False,20,15,300,ok,JSPLIB instances.json,True,https://raw.githubusercontent.com/tamy0612/JSPLIB/eea2b60dd7e2f5c907ff7302662c61812eb7efdf/instances/ta11
ta21,taillard,JSSP,20,20,400,False,20,20,400,ok,JSPLIB instances.json,True,https://raw.githubusercontent.com/tamy0612/JSPLIB/eea2b60dd7e2f5c907ff7302662c61812eb7efdf/instances/ta21
ta31,taillard,JSSP,30,15,450,False,30,15,450,ok,JSPLIB instances.json,True,https://raw.githubusercontent.com/tamy0612/JSPLIB/eea2b60dd7e2f5c907ff7302662c61812eb7efdf/instances/ta31
ta41,taillard,JSSP,30,20,600,False,30,20,600,ok,JSPLIB instances.json,True,https://raw.githubusercontent.com/tamy0612/JSPLIB/eea2b60dd7e2f5c907ff7302662c61812eb7efdf/instances/ta41
ta51,taillard,JSSP,50,15,750,False,50,15,750,ok,JSPLIB instances.json,True,https://raw.githubusercontent.com/tamy0612/JSPLIB/eea2b60dd7e2f5c907ff7302662c61812eb7efdf/instances/ta51
ta61,taillard,JSSP,50,20,1000,False,50,20,1000,ok,JSPLIB instances.json,True,https://raw.githubusercontent.com/tamy0612/JSPLIB/eea2b60dd7e2f5c907ff7302662c61812eb7efdf/instances/ta61
ta71,taillard,JSSP,100,20,2000,False,100,20,2000,ok,JSPLIB instances.json,True,https://raw.githubusercontent.com/tamy0612/JSPLIB/eea2b60dd7e2f5c907ff7302662c61812eb7efdf/instances/ta71
mk01,brandimarte,FJSP,10,6,55,True,10,6,55,ok,Brandimarte (1993),True,https://raw.githubusercontent.com/ScheduleOpt/benchmarks/fff94e1d1735c61c65b231a8ca273431a9be3826/flexible%20jobshop/instances/text_fjsp_old_format/Brandimarte1993/mk01.txt
mk02,brandimarte,FJSP,10,6,58,True,10,6,58,ok,Brandimarte (1993),True,https://raw.githubusercontent.com/ScheduleOpt/benchmarks/fff94e1d1735c61c65b231a8ca273431a9be3826/flexible%20jobshop/instances/text_fjsp_old_format/Brandimarte1993/mk02.txt
mk03,brandimarte,FJSP,15,8,150,True,15,8,150,ok,Brandimarte (1993),True,https://raw.githubusercontent.com/ScheduleOpt/benchmarks/fff94e1d1735c61c65b231a8ca273431a9be3826/flexible%20jobshop/instances/text_fjsp_old_format/Brandimarte1993/mk03.txt
mk04,brandimarte,FJSP,15,8,90,True,15,8,90,ok,Brandimarte (1993),True,https://raw.githubusercontent.com/ScheduleOpt/benchmarks/fff94e1d1735c61c65b231a8ca273431a9be3826/flexible%20jobshop/instances/text_fjsp_old_format/Brandimarte1993/mk04.txt
mk05,brandimarte,FJSP,15,4,106,True,15,4,106,ok,Brandimarte (1993),True,https://raw.githubusercontent.com/ScheduleOpt/benchmarks/fff94e1d1735c61c65b231a8ca273431a9be3826/flexible%20jobshop/instances/text_fjsp_old_format/Brandimarte1993/mk05.txt
mk06,brandimarte,FJSP,10,15,150,True,10,15,150,ok,Brandimarte (1993),True,https://raw.githubusercontent.com/ScheduleOpt/benchmarks/fff94e1d1735c61c65b231a8ca273431a9be3826/flexible%20jobshop/instances/text_fjsp_old_format/Brandimarte1993/mk06.txt
mk07,brandimarte,FJSP,20,5,100,True,20,5,100,ok,Brandimarte (1993),True,https://raw.githubusercontent.com/ScheduleOpt/benchmarks/fff94e1d1735c61c65b231a8ca273431a9be3826/flexible%20jobshop/instances/text_fjsp_old_format/Brandimarte1993/mk07.txt
mk08,brandimarte,FJSP,20,10,225,True,20,10,225,ok,Brandimarte (1993),True,https://raw.githubusercontent.com/ScheduleOpt/benchmarks/fff94e1d1735c61c65b231a8ca273431a9be3826/flexible%20jobshop/instances/text_fjsp_old_format/Brandimarte1993/mk08.txt
mk09,brandimarte,FJSP,20,10,240,True,20,10,240,ok,Brandimarte (1993),True,https://raw.githubusercontent.com/ScheduleOpt/benchmarks/fff94e1d1735c61c65b231a8ca273431a9be3826/flexible%20jobshop/instances/text_fjsp_old_format/Brandimarte1993/mk09.txt
mk10,brandimarte,FJSP,20,15,240,True,20,15,240,ok,Brandimarte (1993),True,https://raw.githubusercontent.com/ScheduleOpt/benchmarks/fff94e1d1735c61c65b231a8ca273431a9be3826/flexible%20jobshop/instances/text_fjsp_old_format/Brandimarte1993/mk10.txt
edata_la01,hurink_edata,FJSP,10,5,50,True,10,5,50,ok,JSPLIB base la01,True,https://raw.githubusercontent.com/ScheduleOpt/benchmarks/fff94e1d1735c61c65b231a8ca273431a9be3826/flexible%20jobshop/instances/text_fjsp_old_format/HurinkJurischThole1994/edata/la01.txt
edata_la06,hurink_edata,FJSP,15,5,75,True,15,5,75,ok,JSPLIB base la06,True,https://raw.githubusercontent.com/ScheduleOpt/benchmarks/fff94e1d1735c61c65b231a8ca273431a9be3826/flexible%20jobshop/instances/text_fjsp_old_format/HurinkJurischThole1994/edata/la06.txt
edata_la16,hurink_edata,FJSP,10,10,100,True,10,10,100,ok,JSPLIB base la16,True,https://raw.githubusercontent.com/ScheduleOpt/benchmarks/fff94e1d1735c61c65b231a8ca273431a9be3826/flexible%20jobshop/instances/text_fjsp_old_format/HurinkJurischThole1994/edata/la16.txt
edata_la21,hurink_edata,FJSP,15,10,150,True,15,10,150,ok,JSPLIB base la21,True,https://raw.githubusercontent.com/ScheduleOpt/benchmarks/fff94e1d1735c61c65b231a8ca273431a9be3826/flexible%20jobshop/instances/text_fjsp_old_format/HurinkJurischThole1994/edata/la21.txt
edata_la26,hurink_edata,FJSP,20,10,200,True,20,10,200,ok,JSPLIB base la26,True,https://raw.githubusercontent.com/ScheduleOpt/benchmarks/fff94e1d1735c61c65b231a8ca273431a9be3826/flexible%20jobshop/instances/text_fjsp_old_format/HurinkJurischThole1994/edata/la26.txt
rdata_la01,hurink_rdata,FJSP,10,5,50,True,10,5,50,ok,JSPLIB base la01,True,https://raw.githubusercontent.com/ScheduleOpt/benchmarks/fff94e1d1735c61c65b231a8ca273431a9be3826/flexible%20jobshop/instances/text_fjsp_old_format/HurinkJurischThole1994/rdata/la01.txt
rdata_la06,hurink_rdata,FJSP,15,5,75,True,15,5,75,ok,JSPLIB base la06,True,https://raw.githubusercontent.com/ScheduleOpt/benchmarks/fff94e1d1735c61c65b231a8ca273431a9be3826/flexible%20jobshop/instances/text_fjsp_old_format/HurinkJurischThole1994/rdata/la06.txt
rdata_la16,hurink_rdata,FJSP,10,10,100,True,10,10,100,ok,JSPLIB base la16,True,https://raw.githubusercontent.com/ScheduleOpt/benchmarks/fff94e1d1735c61c65b231a8ca273431a9be3826/flexible%20jobshop/instances/text_fjsp_old_format/HurinkJurischThole1994/rdata/la16.txt
rdata_la21,hurink_rdata,FJSP,15,10,150,True,15,10,150,ok,JSPLIB base la21,True,https://raw.githubusercontent.com/ScheduleOpt/benchmarks/fff94e1d1735c61c65b231a8ca273431a9be3826/flexible%20jobshop/instances/text_fjsp_old_format/HurinkJurischThole1994/rdata/la21.txt
rdata_la26,hurink_rdata,FJSP,20,10,200,True,20,10,200,ok,JSPLIB base la26,True,https://raw.githubusercontent.com/ScheduleOpt/benchmarks/fff94e1d1735c61c65b231a8ca273431a9be3826/flexible%20jobshop/instances/text_fjsp_old_format/HurinkJurischThole1994/rdata/la26.txt
vdata_la01,hurink_vdata,FJSP,10,5,50,True,10,5,50,ok,JSPLIB base la01,True,https://raw.githubusercontent.com/ScheduleOpt/benchmarks/fff94e1d1735c61c65b231a8ca273431a9be3826/flexible%20jobshop/instances/text_fjsp_old_format/HurinkJurischThole1994/vdata/la01.txt
vdata_la06,hurink_vdata,FJSP,15,5,75,True,15,5,75,ok,JSPLIB base la06,True,https://raw.githubusercontent.com/ScheduleOpt/benchmarks/fff94e1d1735c61c65b231a8ca273431a9be3826/flexible%20jobshop/instances/text_fjsp_old_format/HurinkJurischThole1994/vdata/la06.txt
vdata_la16,hurink_vdata,FJSP,10,10,100,True,10,10,100,ok,JSPLIB base la16,True,https://raw.githubusercontent.com/ScheduleOpt/benchmarks/fff94e1d1735c61c65b231a8ca273431a9be3826/flexible%20jobshop/instances/text_fjsp_old_format/HurinkJurischThole1994/vdata/la16.txt
vdata_la21,hurink_vdata,FJSP,15,10,150,True,15,10,150,ok,JSPLIB base la21,True,https://raw.githubusercontent.com/ScheduleOpt/benchmarks/fff94e1d1735c61c65b231a8ca273431a9be3826/flexible%20jobshop/instances/text_fjsp_old_format/HurinkJurischThole1994/vdata/la21.txt
vdata_la26,hurink_vdata,FJSP,20,10,200,True,20,10,200,ok,JSPLIB base la26,True,https://raw.githubusercontent.com/ScheduleOpt/benchmarks/fff94e1d1735c61c65b231a8ca273431a9be3826/flexible%20jobshop/instances/text_fjsp_old_format/HurinkJurischThole1994/vdata/la26.txt
fattahi01,fattahi,FJSP,2,2,4,True,2,2,4,ok,Fattahi et al. (2007),True,https://raw.githubusercontent.com/ScheduleOpt/benchmarks/fff94e1d1735c61c65b231a8ca273431a9be3826/flexible%20jobshop/instances/text_fjsp_old_format/FattahiMehrabadJolai2007/fattahi1.txt
fattahi05,fattahi,FJSP,3,2,6,True,3,2,6,ok,Fattahi et al. (2007),True,https://raw.githubusercontent.com/ScheduleOpt/benchmarks/fff94e1d1735c61c65b231a8ca273431a9be3826/flexible%20jobshop/instances/text_fjsp_old_format/FattahiMehrabadJolai2007/fattahi5.txt
fattahi10,fattahi,FJSP,4,5,12,True,4,5,12,ok,Fattahi et al. (2007),True,https://raw.githubusercontent.com/ScheduleOpt/benchmarks/fff94e1d1735c61c65b231a8ca273431a9be3826/flexible%20jobshop/instances/text_fjsp_old_format/FattahiMehrabadJolai2007/fattahi10.txt
fattahi15,fattahi,FJSP,7,7,21,True,7,7,21,ok,Fattahi et al. (2007),True,https://raw.githubusercontent.com/ScheduleOpt/benchmarks/fff94e1d1735c61c65b231a8ca273431a9be3826/flexible%20jobshop/instances/text_fjsp_old_format/FattahiMehrabadJolai2007/fattahi15.txt
fattahi20,fattahi,FJSP,12,8,48,True,12,8,48,ok,Fattahi et al. (2007),True,https://raw.githubusercontent.com/ScheduleOpt/benchmarks/fff94e1d1735c61c65b231a8ca273431a9be3826/flexible%20jobshop/instances/text_fjsp_old_format/FattahiMehrabadJolai2007/fattahi20.txt
